exp,n,ok_legacy,ok_strict,ok_audit,acc_legacy,acc_strict,fire_all_legacy,fire_all_strict,late_fp,late_fn,response_quality,n_burst,n_per_stim,max_spikes,mode_legacy,csv
SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span100ms_gen/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span100ms_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span100ms_preinh25/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span100ms_preinh25/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span25ms_gen/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,6,3,fire_all,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span25ms_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span25ms_preinh25/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,7,4,fire_all,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span25ms_preinh25/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span50ms_gen/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span50ms_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span50ms_preinh25/Test,8,0,0,0,1,1,1,1,0,0,per_stim,0,8,4,fire_all,SelectivityLtzCalibrate/FastSpanLtzCal/EXP_span50ms_preinh25/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/RegressionFull480/EXP_baseline_gen/Test,5,0,0,0,1,1,1,1,0,0,per_stim,0,5,16,fire_all,SelectivityLtzCalibrate/RegressionFull480/EXP_baseline_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/RegressionFull480/EXP_baseline_preinh25/Test,5,0,0,0,1,1,1,1,0,0,per_stim,0,5,16,fire_all,SelectivityLtzCalibrate/RegressionFull480/EXP_baseline_preinh25/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/_smoke_sync/EXP00_smoke/Test,7,0,0,0,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityLtzCalibrate/_smoke_sync/EXP00_smoke/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/_smoke_sync/EXP04_smoke/Test,7,0,0,0,5,5,0,0,0,0,ok_single,0,0,1,selective,SelectivityLtzCalibrate/_smoke_sync/EXP04_smoke/Test/SelectivityLog/results.csv
SelectivityPhaseA/EXP00_baseline/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPhaseA/EXP00_baseline/Test/SelectivityLog/results.csv
SelectivityPhaseA/EXP01_ltz_threshold_sweep/Test,8,1,1,1,6,6,0,0,0,0,ok_single,0,0,1,selective,SelectivityPhaseA/EXP01_ltz_threshold_sweep/Test/SelectivityLog/results.csv
SelectivityPhaseA/EXP02_ltzone_average_mode/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPhaseA/EXP02_ltzone_average_mode/Test/SelectivityLog/results.csv
SelectivityPhaseA/EXP03_sync_tolerance_015/Test,8,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPhaseA/EXP03_sync_tolerance_015/Test/SelectivityLog/results.csv
SelectivityPhaseA/EXP04_sync_tolerance_010/Test,7,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPhaseA/EXP04_sync_tolerance_010/Test/SelectivityLog/results.csv
SelectivityPhaseA/EXP05_resistance_gain_025/Test,7,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPhaseA/EXP05_resistance_gain_025/Test/SelectivityLog/results.csv
